mes,semana,V_general,I_general,V_especial,I_especial,V_comp,I_comp
1,1,38,70,38,77,12,80
1,2,42,72,39,78,12,81
1,3,45,73,40,80,13,83
1,4,50,74,41,81,14,84
2,5,62,76,42,82,14,85
2,6,73,77,43,83,15,86
2,7,80,79,45,84,15,87
2,8,86,82,47,85,15,90
3,9,90,85,50,86,15,91
3,10,94,90,52,87,16,92
3,11,98,93,58,88,17,93
3,12,96,95,65,90,18,95
4,13,93,96,70,91,19,95
4,14,90,97,76,92,20,96
4,15,85,97,85,93,21,97
4,16,79,98,92,94,22,97
5,17,72,97,96,95,25,97
5,18,65,96,97,95,27,97
5,19,50,95,92,95,31,97
5,20,42,89,82,95,37,97
6,21,34,80,73,95,42,98
6,22,31,70,62,95,45,98
6,23,28,64,54,96,52,98
6,24,26,60,50,96,58,98
7,25,23,58,43,97,68,98
7,26,21,58,42,98,80,98
7,27,20,59,43,97,92,98
7,28,22,60,45,96,98,97
8,29,25,63,48,95,97,97
8,30,30,65,52,94,92,96
8,31,35,67,55,93,78,95
8,32,42,70,58,93,72,95
9,33,45,71,60,94,68,95
9,34,44,70,61,95,67,95
9,35,40,69,60,95,68,96
9,36,35,67,58,96,72,97
10,37,32,65,54,97,80,98
10,38,30,62,52,97,91,98
10,39,29,58,50,97,98,98
10,40,30,54,42,96,98,97
11,41,32,47,40,0,97,0
11,42,35,44,32,0,0,0
11,43,37,42,0,0,0,0
11,44,42,40,0,0,0,0
12,45,45,40,0,0,0,0
12,46,48,41,0,0,0,0
12,47,52,42,0,0,0,0
12,48,55,45,0,0,0,0